country,year,start,end,protest_duration,region,location,participants_category,protesterdemand1,stateresponse1,total protests
Colombia,2016,2016-10-05,2016-10-17,12 days,South America,"Plaza de Bol var & Casa de Nari o, Bogot",>10000,"political behavior, process",ignore,6
Colombia,2017,2017-01-22,2017-01-22,0 days,South America,Bogot,100-999,"political behavior, process",crowd dispersal,6
Colombia,2017,2017-04-01,2017-04-15,14 days,South America,Bogota,1000-1999,"political behavior, process",ignore,6
Colombia,2017,2017-10-05,2017-10-05,0 days,South America,Tumaco,50-99,land farm issue,crowd dispersal,6
Colombia,2018,2018-01-26,2018-01-26,0 days,South America,Bogota,2000-4999,social restrictions,crowd dispersal,6
Colombia,2018,2018-07-07,2018-07-07,0 days,South America,Bogota,2000-4999,"political behavior, process",ignore,6
Venezuela,2016,2016-03-02,2016-09-01,183 days,South America,national,>10000,removal of politician,crowd dispersal,34
Venezuela,2016,2016-04-26,2016-04-27,1 days,South America,Zulia; national,100-999,"price increases, tax policy",arrests,34
Venezuela,2016,2016-05-15,2016-05-18,3 days,South America,Caracas,5000-10000,removal of politician,crowd dispersal,34
Venezuela,2016,2016-06-16,2016-07-12,26 days,South America,Caracas; Cuman ; Boca de Uchire; national,100-999,"price increases, tax policy",arrests,34
Venezuela,2016,2016-09-01,2016-09-01,0 days,South America,Caracas,>10000,removal of politician,crowd dispersal,34
Venezuela,2016,2016-09-02,2016-09-02,0 days,South America,"Villa Rosa, Margarita Island",50-99,removal of politician,arrests,34
Venezuela,2016,2016-10-26,2016-10-26,0 days,South America,Caracas,100-999,"political behavior, process",ignore,34
Venezuela,2016,2016-10-26,2016-10-26,0 days,South America,Caracas; M rida; Miranda; national,>10000,removal of politician,crowd dispersal,34
Venezuela,2016,2016-10-28,2016-10-28,0 days,South America,Caracas; national,100-999,removal of politician,ignore,34
Venezuela,2016,2016-12-15,2016-12-19,4 days,South America,national; at least eight cities,2000-4999,"price increases, tax policy",accomodation,34
Venezuela,2017,2017-01-23,2017-01-23,0 days,South America,national,5000-10000,removal of politician,ignore,34
Venezuela,2017,2017-03-31,2017-04-04,4 days,South America,Caracas,2000-4999,"political behavior, process",beatings,34
Venezuela,2017,2017-04-08,2017-04-19,11 days,South America,"Caracas, including Brion Square; other Venezuelan cities",2000-4999,"political behavior, process",crowd dispersal,34
Venezuela,2017,2017-04-19,2017-04-20,1 days,South America,26 pre planned locations across Caracas,100-999,"political behavior, process",crowd dispersal,34
Venezuela,2017,2017-04-24,2017-04-24,0 days,South America,M rida and Barinas States,100-999,"political behavior, process",shootings,34
Venezuela,2017,2017-04-26,2017-04-26,0 days,South America,The western fringes of central Caracas,100-999,removal of politician,crowd dispersal,34
Venezuela,2017,2017-05-01,2017-05-01,0 days,South America,"The streets of, and near government buildings in downtown, Caracas",>10000,removal of politician,crowd dispersal,34
Venezuela,2017,2017-05-03,2017-05-03,0 days,South America,National,>10000,"political behavior, process",crowd dispersal,34
Venezuela,2017,2017-05-04,2017-05-04,0 days,South America,Central University of Venezuela and across Caracas; El Tigre,100-999,"political behavior, process",crowd dispersal,34
Venezuela,2017,2017-05-06,2017-05-06,0 days,South America,Streets in major cities of Venezuela,2000-4999,"political behavior, process",crowd dispersal,34
Venezuela,2017,2017-05-12,2017-05-12,0 days,South America,Streets of Caracas,2000-4999,removal of politician,crowd dispersal,34
Venezuela,2017,2017-05-15,2017-05-26,11 days,South America,San Cristobal,1000-1999,"political behavior, process",crowd dispersal,34
Venezuela,2017,2017-05-20,2017-05-20,0 days,South America,Caracas and other cities,>10000,removal of politician,crowd dispersal,34
Venezuela,2017,2017-06-12,2017-06-12,0 days,South America,"Near Venezuela s Supreme Court, Caracas",100-999,"political behavior, process",crowd dispersal,34
Venezuela,2017,2017-07-16,2017-07-16,0 days,South America,National,>10000,"political behavior, process",crowd dispersal,34
Venezuela,2017,2017-07-20,2017-07-20,0 days,South America,National,>10000,"political behavior, process",crowd dispersal,34
Venezuela,2017,2017-07-22,2017-07-22,0 days,South America,"Supreme Court, Caracas",100-999,removal of politician,crowd dispersal,34
Venezuela,2017,2017-07-26,2017-07-27,1 days,South America,National,>10000,"political behavior, process",ignore,34
Venezuela,2017,2017-07-30,2017-07-30,0 days,South America,"National: Caracas; T chira; Barquisimeto, the capital of Lara State",>10000,"political behavior, process",crowd dispersal,34
Venezuela,2017,2017-08-04,2017-08-04,0 days,South America,Caracas,100-999,"political behavior, process",crowd dispersal,34
Venezuela,2017,2017-11-12,2017-11-12,0 days,South America,The town of Moron,100-999,"political behavior, process",ignore,34
Venezuela,2017,2017-12-27,2017-12-28,1 days,South America,Poor parts of Caracas,100-999,social restrictions,ignore,34
Venezuela,2018,2018-07-21,2018-07-22,1 days,South America,Caracas,50-99,labor wage dispute,ignore,34
Venezuela,2018,2018-07-23,2018-07-23,0 days,South America,Caracas,50-99,labor wage dispute,ignore,34
Peru,2016,2016-03-01,2016-04-11,41 days,South America,national,>10000,"political behavior, process",ignore,11
Peru,2016,2016-08-13,2016-08-13,0 days,South America,Lima,>10000,"political behavior, process",ignore,11
Peru,2016,2016-11-15,2016-11-19,4 days,South America,Lima,2000-4999,labor wage dispute,ignore,11
Peru,2017,2017-01-12,2017-01-12,0 days,South America,Lima,2000-4999,"price increases, tax policy",arrests,11
Peru,2017,2017-08-15,2017-08-26,11 days,South America,Amazon region,50-99,land farm issue,ignore,11
Peru,2017,2017-10-15,2017-11-01,17 days,South America,Lima,100-999,social restrictions,ignore,11
Peru,2017,2017-12-25,2018-01-21,27 days,South America,Lima; national,>10000,"political behavior, process",crowd dispersal,11
Peru,2018,2018-07-11,2018-07-11,0 days,South America,Lima,2000-4999,"political behavior, process",ignore,11
Peru,2018,2018-10-10,2018-10-10,0 days,South America,Lima,100-999,police brutality,ignore,11
